date,price,score
2022-11-07 18:24:28,87.885,-1.7828561663627625
2022-11-07 18:39:33,87.92,0.0
2022-11-07 18:54:28,88.0195,-1.8562372922897339
2022-11-07 19:09:24,88.21,-2.8735471069812775
2022-11-07 19:24:29,88.545,-1.1286180913448334
2022-11-07 19:39:22,88.7199,-1.803285002708435
2022-11-07 19:54:32,88.865,0.48467984795570374
2022-11-07 20:09:19,88.655,-0.14678484201431274
2022-11-07 20:24:26,88.62,-2.2088277637958527
2022-11-07 20:39:17,88.505,-1.5018824934959412
2022-11-07 20:54:32,88.56,1.7634742259979248
2022-11-07 21:00:04,88.49,0.0
2022-11-08 14:39:19,88.76,-8.10358664393425
2022-11-08 14:54:32,88.975,-4.236280977725983
2022-11-08 15:09:25,88.85,0.25680673122406006
2022-11-08 15:24:25,89.3094,-2.5279115438461304
2022-11-08 15:39:43,89.4799,-2.886055648326874
2022-11-08 15:39:58,89.4385,0.0
2022-11-08 15:54:14,89.63,-0.18284785747528076
2022-11-08 16:09:45,89.635,-3.5135344862937927
2022-11-08 16:09:57,89.615,0.0
2022-11-08 16:24:29,89.93,-2.450586438179016
2022-11-08 16:39:22,90.2118,-3.94493567943573
2022-11-08 16:54:33,89.672,-0.8631280064582825
2022-11-08 17:09:30,89.58,-0.7103670835494995
2022-11-08 17:24:20,89.485,-1.760810136795044
2022-11-08 17:39:32,89.53,-1.0813226699829102
2022-11-08 17:54:42,89.52,0.0
2022-11-08 18:09:18,89.565,-0.7985349893569946
2022-11-08 18:24:33,88.82,-2.842738687992096
2022-11-08 18:39:29,88.72,-0.597954273223877
2022-11-08 18:54:13,88.5191,-1.558259129524231
2022-11-08 19:09:23,88.0601,0.02372431755065918
2022-11-08 19:24:26,87.9099,-0.8775927424430847
2022-11-08 19:39:18,88.11,-1.1044080257415771
2022-11-08 19:54:12,88.37,-0.02968466281890869
2022-11-08 20:09:31,88.605,-4.476654767990112
2022-11-08 20:24:32,88.8604,-0.12472951412200928
2022-11-08 20:39:40,89.22,0.0
2022-11-08 20:54:14,89.23,-0.5546640455722809
2022-11-08 21:00:04,88.9,0.9150240421295166
2022-11-09 14:40:20,88.45,-52.99904900789261
2022-11-09 14:54:34,88.51,-0.9393619298934937
2022-11-09 15:09:27,88.975,-0.4112183451652527
2022-11-09 15:24:40,89.07,-3.1956470608711243
2022-11-09 15:39:48,88.64,-1.8636711835861206
2022-11-09 15:54:32,88.52,0.968039870262146
2022-11-09 16:09:32,88.58,-5.591417491436005
2022-11-09 16:24:39,88.56,-2.501140773296356
2022-11-09 16:39:21,88.531,-0.6420570015907288
